,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Years,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Outlet_Identifier_OUT010,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049,New_Item_Type_Drinks,New_Item_Type_Food,New_Item_Type_Non-Consumable
4931,0.38861967204841225,0,0.6599547455265964,8,0.2981549287978461,0,1,-0.497880145061525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4148,0.0,1,-2.274999280780808,13,-1.2274861555260335,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7423,-0.3212506951121038,0,-1.4629500513808031,8,-0.1819376937310666,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4836,-0.6300443048269282,1,0.2575669448657156,5,0.034084556479883954,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
944,1.9266721342295303,1,-0.12748799367105565,13,0.8680041796702364,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
154,-1.2996886845150148,1,-0.31876323201844303,6,1.3677900770310585,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7230,0.0,2,1.2568304509433272,6,-0.8099771674800654,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
3472,-1.215687357734354,2,0.6392022332369485,6,-0.37649388898825303,0,1,-0.497880145061525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2294,1.2996199765710748,1,0.3271280580719172,7,0.7915594600316297,0,2,-0.020083384880314383,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2588,1.4534252227891862,1,0.28864059876291637,13,-0.16266834458047058,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
